# Dataset: Baghewala Digital Twin - Maintenance & Failure Event Log
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: 150 maintenance/failure events across 5 wells over 3 years
# Schema: WellState Canonical v1.0 (Event Domain)
# Label Source: weak (derived from workover logs, not direct observation)
# Event Types: 8 categories | Severity Levels: critical/warning/info
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
event_id,well_id,cycle_id,ts,cycle_day,event_type,severity,failure_depth_m,description,downtime_hours,repair_cost_inr,root_cause,preceding_fmi,preceding_viscosity_cp,preceding_spm,preceding_motor_current_a,corrective_action,mtbf_days,label_source,source
EVT-00037,BGW-15,CYC-008,2025-12-23T00:10:07Z,29.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-15,123.4,137855.79,unknown,0.248,2281.5,7.0,39.9,parameter_adjustment,32.3,weak,synthetic
EVT-00104,BGW-08,CYC-009,2025-12-26T19:46:28Z,34.0,valve_replacement,warning,,Valve Replacement occurred on well BGW-08,162.4,409361.16,corrosion,0.168,2428.9,5.5,52.7,valve_swap,25.4,weak,synthetic
EVT-00068,BGW-05,CYC-015,2026-01-05T00:25:58Z,58.4,rod_failure,critical,704.3,Rod Failure occurred on well BGW-05,153.6,416083.95,mechanical_fatigue,0.137,7066.0,7.5,48.1,rod_replacement,75.5,weak,synthetic
EVT-00114,BGW-04,CYC-007,2026-01-19T01:54:10Z,53.9,rod_failure,critical,906.1,Rod Failure occurred on well BGW-04,150.5,196389.16,high_viscosity,0.112,7571.4,7.2,29.3,rod_replacement,55.1,weak,synthetic
EVT-00004,BGW-08,CYC-002,2026-01-20T10:47:07Z,18.7,rod_failure,critical,380.7,Rod Failure occurred on well BGW-08,76.5,213831.41,mechanical_fatigue,0.072,11462.9,5.8,50.1,rod_replacement,24.6,weak,synthetic
EVT-00003,BGW-11,CYC-004,2026-01-28T00:24:03Z,10.2,rod_failure,critical,826.0,Rod Failure occurred on well BGW-11,60.8,208495.63,thermal_stress,0.111,11889.2,4.4,34.1,rod_replacement,91.3,weak,synthetic
EVT-00082,BGW-08,CYC-009,2026-02-01T16:46:45Z,8.3,rod_failure,critical,1108.8,Rod Failure occurred on well BGW-08,95.2,336656.57,mechanical_fatigue,0.129,11587.9,5.7,52.1,rod_replacement,12.2,weak,synthetic
EVT-00052,BGW-11,CYC-009,2026-02-03T16:02:27Z,7.0,rod_failure,critical,283.7,Rod Failure occurred on well BGW-11,43.9,62381.19,mechanical_fatigue,0.109,8798.2,5.7,26.6,rod_replacement,6.7,weak,synthetic
EVT-00136,BGW-11,CYC-006,2026-02-06T01:27:26Z,23.2,gear_failure,critical,,Gear Failure occurred on well BGW-11,20.2,211187.43,unknown,0.359,1364.4,6.6,54.0,gear_replacement,2.4,weak,synthetic
EVT-00123,BGW-11,CYC-002,2026-02-14T09:07:10Z,11.9,routine_maintenance,info,,Routine Maintenance occurred on well BGW-11,54.6,41711.68,unknown,0.195,4153.8,6.2,40.6,parameter_adjustment,8.3,weak,synthetic
EVT-00148,BGW-11,CYC-009,2026-02-18T09:08:25Z,23.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-11,68.5,52215.63,unknown,0.263,1277.8,5.0,28.2,parameter_adjustment,4.0,weak,synthetic
EVT-00105,BGW-15,CYC-005,2026-03-16T21:04:18Z,9.6,rod_failure,critical,352.3,Rod Failure occurred on well BGW-15,76.6,259109.61,mechanical_fatigue,0.135,6554.3,5.8,32.2,rod_replacement,83.9,weak,synthetic
EVT-00121,BGW-08,CYC-012,2026-03-17T02:13:38Z,44.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-08,118.2,91175.05,unknown,0.192,1044.9,4.6,47.7,parameter_adjustment,43.4,weak,synthetic
EVT-00090,BGW-04,CYC-010,2026-03-28T20:56:30Z,28.6,rod_failure,critical,584.2,Rod Failure occurred on well BGW-04,108.3,148310.03,mechanical_fatigue,0.137,6203.1,7.8,36.1,rod_replacement,68.8,weak,synthetic
EVT-00130,BGW-11,CYC-007,2026-03-31T02:57:57Z,18.7,routine_maintenance,info,,Routine Maintenance occurred on well BGW-11,145.6,84051.33,unknown,0.216,838.7,8.0,36.3,parameter_adjustment,40.7,weak,synthetic
EVT-00057,BGW-11,CYC-008,2026-04-01T07:48:52Z,34.6,rod_failure,critical,527.9,Rod Failure occurred on well BGW-11,93.6,273997.88,mechanical_fatigue,0.128,11865.4,5.0,33.4,rod_replacement,1.2,weak,synthetic
EVT-00059,BGW-04,CYC-008,2026-04-11T02:42:12Z,10.5,rod_failure,critical,1064.9,Rod Failure occurred on well BGW-04,4.5,76356.93,thermal_stress,0.057,10470.7,5.1,41.8,rod_replacement,13.2,weak,synthetic
EVT-00146,BGW-08,CYC-001,2026-04-13T21:51:08Z,21.4,rod_failure,critical,772.6,Rod Failure occurred on well BGW-08,156.1,170845.85,mechanical_fatigue,0.13,5939.4,6.0,29.5,rod_replacement,27.8,weak,synthetic
EVT-00125,BGW-15,CYC-014,2026-05-03T20:07:52Z,9.3,rod_failure,critical,386.5,Rod Failure occurred on well BGW-15,160.8,140853.26,thermal_stress,0.105,5654.0,6.6,40.7,rod_replacement,48.0,weak,synthetic
EVT-00002,BGW-04,CYC-014,2026-05-15T08:10:04Z,23.2,rod_failure,critical,688.4,Rod Failure occurred on well BGW-04,48.2,245280.18,thermal_stress,0.115,11176.7,6.3,28.5,rod_replacement,34.2,weak,synthetic
EVT-00063,BGW-11,CYC-003,2026-05-23T11:03:15Z,17.8,valve_replacement,warning,,Valve Replacement occurred on well BGW-11,107.9,232487.4,corrosion,0.465,3404.2,4.6,35.5,valve_swap,52.1,weak,synthetic
EVT-00145,BGW-04,CYC-003,2026-05-23T21:35:40Z,28.0,pump_unseating,warning,,Pump Unseating occurred on well BGW-04,141.0,467291.69,high_viscosity,0.426,972.2,7.0,50.5,pump_reset,8.6,weak,synthetic
EVT-00140,BGW-05,CYC-005,2026-06-23T20:50:08Z,47.4,rod_failure,critical,869.7,Rod Failure occurred on well BGW-05,116.6,247056.52,mechanical_fatigue,0.1,11541.4,6.9,30.1,rod_replacement,169.9,weak,synthetic
EVT-00039,BGW-15,CYC-002,2026-07-01T01:50:16Z,18.3,interlock_trip,warning,,Interlock Trip occurred on well BGW-15,69.5,279812.22,operator_error,0.376,2479.6,7.2,23.3,parameter_adjustment,58.2,weak,synthetic
EVT-00118,BGW-11,CYC-001,2026-07-02T14:46:58Z,38.3,workover,critical,,Workover occurred on well BGW-11,114.7,474667.65,unknown,0.417,2890.9,6.1,33.9,tubing_repair,40.2,weak,synthetic
EVT-00149,BGW-08,CYC-005,2026-07-07T14:55:55Z,37.0,rod_failure,critical,744.2,Rod Failure occurred on well BGW-08,45.4,182978.28,high_viscosity,0.11,8257.8,4.6,44.0,rod_replacement,84.7,weak,synthetic
EVT-00069,BGW-11,CYC-003,2026-07-17T07:56:42Z,46.5,pump_unseating,warning,,Pump Unseating occurred on well BGW-11,39.5,339780.24,unknown,0.489,4032.7,5.5,47.7,pump_reset,14.7,weak,synthetic
EVT-00034,BGW-05,CYC-002,2026-07-19T08:00:54Z,36.8,interlock_trip,warning,,Interlock Trip occurred on well BGW-05,156.2,290019.38,unknown,0.48,1031.7,6.4,49.1,parameter_adjustment,25.5,weak,synthetic
EVT-00083,BGW-04,CYC-010,2026-07-23T08:45:26Z,22.2,workover,critical,,Workover occurred on well BGW-04,19.2,256169.21,high_viscosity,0.228,585.7,7.4,32.9,tubing_repair,60.5,weak,synthetic
EVT-00015,BGW-11,CYC-012,2026-07-29T07:48:32Z,13.5,workover,critical,,Workover occurred on well BGW-11,156.4,432979.82,high_viscosity,0.159,3696.0,5.3,52.6,tubing_repair,12.0,weak,synthetic
EVT-00129,BGW-08,CYC-003,2026-07-31T00:14:27Z,46.8,interlock_trip,warning,,Interlock Trip occurred on well BGW-08,87.5,57561.05,operator_error,0.193,2275.5,4.6,21.8,parameter_adjustment,23.4,weak,synthetic
EVT-00112,BGW-11,CYC-008,2026-08-05T23:28:04Z,39.7,rod_failure,critical,970.9,Rod Failure occurred on well BGW-11,12.5,389214.25,mechanical_fatigue,0.076,5306.6,4.8,21.5,rod_replacement,7.7,weak,synthetic
EVT-00064,BGW-08,CYC-005,2026-08-13T11:11:24Z,40.1,routine_maintenance,info,,Routine Maintenance occurred on well BGW-08,72.4,128798.62,unknown,0.5,4274.0,4.4,33.3,parameter_adjustment,13.5,weak,synthetic
EVT-00075,BGW-05,CYC-013,2026-08-14T17:56:42Z,36.1,routine_maintenance,info,,Routine Maintenance occurred on well BGW-05,13.4,383752.9,unknown,0.435,1203.3,7.1,47.6,parameter_adjustment,26.4,weak,synthetic
EVT-00080,BGW-11,CYC-009,2026-08-21T02:41:18Z,21.2,rod_failure,critical,680.3,Rod Failure occurred on well BGW-11,73.4,397582.57,high_viscosity,0.089,11216.6,5.7,49.0,rod_replacement,15.1,weak,synthetic
EVT-00061,BGW-08,CYC-012,2026-08-24T04:17:29Z,10.0,interlock_trip,warning,,Interlock Trip occurred on well BGW-08,164.4,381383.0,operator_error,0.208,1532.4,4.1,31.4,parameter_adjustment,10.7,weak,synthetic
EVT-00050,BGW-04,CYC-011,2026-08-26T12:45:10Z,50.2,pump_unseating,warning,,Pump Unseating occurred on well BGW-04,97.7,382738.96,high_viscosity,0.332,2239.0,5.1,54.9,pump_reset,34.2,weak,synthetic
